GeneA,GeneB,Direction,Sign
YMR216C,YMR304W,1,0
YPL031C,YBR188C,1,0
YDR477W,YDL051W,1,0
YPL026C,YJR049C,1,0
YGL180W,YKL114C,1,0
YDL214C,YHR060W,1,0
YJL164C,YGL105W,1,0
YOR351C,YMR165C,1,0
YJR059W,YFR017C,1,0
YHR082C,YMR143W,1,0
YPL031C,YOL072W,1,0
YPL150W,YNL064C,1,0
YJL095W,YJR092W,1,0
YDR466W,YML037C,1,0
YBR160W,YNL271C,1,0
YHL007C,YGL207W,1,0
YJL164C,YOR141C,1,0
YPL209C,YMR290C,1,0
YGL180W,YOR340C,1,0
YJL164C,YBL055C,1,0
YPL031C,YEL047C,1,0
YBR160W,YGR014W,1,0
YHR079C,YML045WA,1,0
YFL029C,YDL108W,1,0
YCR008W,YJL164C,1,0
YBR160W,YLR102C,1,0
YAL017W,YCL043C,1,0
YHR082C,YLR249W,1,0
YPL031C,YPL146C,1,0
YDL101C,YPL153C,1,0
YPL031C,YGR249W,1,0
YGL059W,YLR195C,1,0
YPL031C,YOR110W,1,0
YBR059C,YNL027W,1,0
YHR135C,YKR092C,1,0
YBL016W,YEL050C,1,0
YJR059W,YLR350W,1,0
YJL187C,YFR038W,1,0
YBR160W,YLR187W,1,0
YBR160W,YKL116C,1,0
YHR082C,YLR098C,1,0
YDL108W,YLR071C,1,0
YPL153C,YPR091C,1,0
YJL095W,YMR229C,1,0
YPL141C,YLR295C,1,0
